Name,Survey,Stellar Mass (10^8),Stellar Mass Error (10^8),Peak Halo Mass (10^10),Peak Halo Mass Error (10^10),N_GC,N_GC_err,GCS Mass (10^6),GCS Mass Error (10^6),Class
FDS16_LSB40,Fornax Deep,0.02,0.01,0.81,0.401,4.5,2.5,0.952,0.568,ELSB
FDS16_LSB41,Fornax Deep,0.025,0.013,0.91,0.448,0.9,0.6,0.192,0.14,Classical
FDS16_LSB42,Fornax Deep,0.063,0.031,1.41,0.697,1.8,1.2,0.402,0.276,Classical
FDS16_LSB43,Fornax Deep,0.398,0.199,3.39,1.687,6.5,3.6,1.578,0.939,Classical
FDS16_LSB44,Fornax Deep,0.001,0.001,0.22,0.106,2,1.3,0.373,0.26,ELSB
FDS16_LSB45,Fornax Deep,0.251,0.125,2.72,1.353,14,7,3.328,1.823,UDG
FDS16_LSB47,Fornax Deep,0.016,0.008,0.73,0.359,3.3,2.1,0.691,0.467,ELSB
FDS16_LSB49,Fornax Deep,0.008,0.004,0.52,0.258,2.5,1.6,0.507,0.351,Classical
FDS16_LSB50,Fornax Deep,0.1,0.05,1.75,0.869,2.1,1.4,0.478,0.337,Classical
FDS16_LSB52,Fornax Deep,0.01,0.005,0.58,0.288,1,0.6,0.205,0.136,ELSB
FDS16_LSB54,Fornax Deep,0.005,0.002,0.42,0.207,1.4,0.9,0.278,0.196,ELSB
FDS16_LSB55,Fornax Deep,0.063,0.031,1.41,0.697,2.7,1.7,0.602,0.405,Classical
FDS16_LSB58,Fornax Deep,1,0.499,5.27,2.625,4.5,2.7,1.14,0.736,UDG
FDS16_LSB59,Fornax Deep,0.02,0.01,0.81,0.401,1.2,0.8,0.254,0.174,Classical
FDS16_LSB6,Fornax Deep,0.025,0.013,0.91,0.448,2,1,0.428,0.236,Classical
FDS16_LSB60,Fornax Deep,0.04,0.02,1.13,0.559,3.8,2,0.83,0.479,ELSB
FDS16_LSB63,Fornax Deep,0.05,0.025,1.26,0.624,1,0.7,0.221,0.163,Classical
FDS16_LSB64,Fornax Deep,0.04,0.02,1.13,0.559,3.2,2.1,0.699,0.485,Classical
FDS16_LSB65,Fornax Deep,0.398,0.199,3.39,1.687,1.6,1,0.388,0.261,ELSB
FDS16_LSB66,Fornax Deep,0.063,0.031,1.41,0.697,2.5,1.6,0.558,0.369,ELSB
FDS16_LSB67,Fornax Deep,0.003,0.002,0.34,0.166,0.9,0.5,0.175,0.113,Classical
FDS16_LSB7,Fornax Deep,0.631,0.315,4.22,2.105,6.5,3.9,1.612,1.031,Classical
FDS16_LSB70,Fornax Deep,0.02,0.01,0.81,0.401,3.4,2,0.719,0.442,Classical
FDS16_LSB71,Fornax Deep,0.079,0.04,1.57,0.778,4,2.2,0.902,0.531,Classical
FDS16_LSB72,Fornax Deep,0.05,0.025,1.26,0.624,2.6,1.7,0.574,0.4,Classical
FDS16_LSB74,Fornax Deep,0.079,0.04,1.57,0.778,1.8,1.2,0.406,0.279,Classical
FDS16_LSB75,Fornax Deep,0.006,0.003,0.47,0.231,4.5,2.5,0.903,0.539,Classical
FDS16_LSB77,Fornax Deep,0.04,0.02,1.13,0.559,1.2,0.8,0.262,0.18,Classical
FDS16_LSB78,Fornax Deep,0.013,0.006,0.65,0.321,1.1,0.7,0.228,0.154,Classical
FDS16_LSB79,Fornax Deep,0.126,0.063,1.95,0.971,1.5,1,0.345,0.246,Classical
FDS16_LSB83,Fornax Deep,0.05,0.025,1.26,0.624,3.7,2.3,0.817,0.531,Classical
FDS16_LSB84,Fornax Deep,0.063,0.031,1.41,0.697,3.2,2.1,0.714,0.496,Classical
FDS16_LSB85,Fornax Deep,1.259,0.628,5.88,2.932,4.3,2.8,1.101,0.759,UDG
FDS16_LSB87,Fornax Deep,0.05,0.025,1.26,0.624,2,1.3,0.441,0.309,Classical
